institution,total,total_men,total_women,total_amind,men_amind,women_amind,total_asian,men_asian,women_asian,total_black,men_black,women_black,total_hisp,men_hisp,women_hisp,total_hapac,men_hapac,women_hapac,total_white,men_white,women_white,total_twoplus,men_twoplus,women_twoplus,total_unk,men_unk,women_unk,total_alien,men_alien,women_alien,sector,degree_status,level,hbcu,tribal,p_admit_total,p_admit_men,p_admit_women,sat_math_25,sat_math_75,act_math_25,act_math_75,out_tuition,in_tuition,total_eng,men_eng,women_eng,amind_eng,amind_men_eng,amind_women_eng,asian_eng,asian_men_eng,asian_women_eng,black_eng,black_men_eng,black_women_eng,hisp_eng,hisp_men_eng,hisp_women_eng,hapac_eng,hapac_men_eng,hapac_women_eng,white_eng,white_men_eng,white_women_eng,twoplus_eng,twoplus_men_eng,twoplus_women_eng,unk_eng,unk_men_eng,unk_women_eng,alien_eng,alien_men_eng,alien_women_eng,total_bio,men_bio,women_bio,amind_bio,amind_men_bio,amind_women_bio,asian_bio,asian_men_bio,asian_women_bio,black_bio,black_men_bio,black_women_bio,hisp_bio,hisp_men_bio,hisp_women_bio,hapac_bio,hapac_men_bio,hapac_women_bio,white_bio,white_men_bio,white_women_bio,unk_bio,unk_men_bio,unk_women_bio,twoplus_bio,twoplus_men_bio,twoplus_women_bio,alien_bio,alien_men_bio,alien_women_bio,total_math,men_math,women_math,amind_math,amind_men_math,amind_women_math,asian_math,asian_men_math,asian_women_math,black_math,black_men_math,black_women_math,hisp_math,hisp_men_math,hisp_women_math,hapac_math,hapac_men_math,hapac_women_math,white_math,white_men_math,white_women_math,twoplus_math,twoplus_men_math,twoplus_women_math,unk_math,unk_men_math,unk_women_math,alien_math,alien_men_math,alien_women_math,total_phys,men_phys,women_phys,amind_phys,amind_men_phys,amind_women_phys,asian_phys,asian_men_phys,asian_women_phys,black_phys,black_men_phys,black_women_phys,hisp_phys,hisp_men_phys,hisp_women_phys,hapac_phys,hapac_men_phys,hapac_women_phys,white_phys,white_men_phys,white_women_phys,twoplus_phys,twoplus_men_phys,twoplus_women_phys,unk_phys,unk_men_phys,unk_women_phys,alien_phys,alien_men_phys,alien_women_phys
Abraham Baldwin Agricultural College,3458,1636,1822,9,4,5,36,16,20,407,114,293,197,84,113,1,0,1,2728,1368,1360,30,16,14,1,1,0,49,33,16,1,1,1,2,2,77,80,77,410,510,16,22,9839,3394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,72,144,1,1,0,4,1,3,21,4,17,16,5,11,0,0,0,160,48,112,4,4,0,0,0,0,10,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy College,127,99,28,1,0,1,10,9,1,14,9,5,6,2,4,3,3,0,80,68,12,1,1,0,12,7,5,0,0,0,3,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,18095,18095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Academy of Couture Art,22,6,16,0,0,0,4,1,3,12,4,8,2,0,2,0,0,0,3,1,2,0,0,0,1,0,1,0,0,0,3,1,1,2,2,100,100,100,NA,NA,NA,NA,22338,22338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agnes Scott College,873,6,867,1,0,1,41,0,41,288,0,288,78,0,78,2,0,2,284,6,278,52,0,52,23,0,23,104,0,104,2,1,1,2,2,68,NA,68,NA,NA,NA,NA,35982,35982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,0,65,0,0,0,2,0,2,27,0,27,8,0,8,0,0,0,19,0,19,3,0,3,3,0,3,3,0,3,13,0,13,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,7,17,0,17,0,0,0,1,0,1,4,0,4,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,2,0,2
AIB College of Business,1014,481,533,3,2,1,8,3,5,38,20,18,49,21,28,5,3,2,457,206,251,13,7,6,421,204,217,20,15,5,2,1,1,2,2,59,63,56,NA,NA,NA,NA,15666,15666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Akron Institute of Herzing University,318,49,269,0,0,0,1,0,1,117,13,104,6,0,6,0,0,0,166,30,136,16,4,12,12,2,10,0,0,0,3,1,1,2,2,100,100,100,NA,NA,NA,NA,12250,12250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska Bible College,46,21,25,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,41,21,20,1,0,1,0,0,0,0,0,0,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,9300,9300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albion College,1268,637,631,3,2,1,23,11,12,47,31,16,46,21,25,1,1,0,999,497,502,33,17,16,79,46,33,37,11,26,2,1,1,2,2,61,60,61,520,640,21,27,37485,37485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,59,81,1,0,1,4,0,4,2,1,1,6,2,4,0,0,0,120,54,66,2,1,1,2,0,2,3,1,2,140,55,85,1,0,1,4,0,4,2,1,1,5,1,4,0,0,0,120,51,69,2,1,1,1,0,1,5,1,4,67,42,25,1,1,0,3,3,0,0,0,0,4,3,1,0,0,0,52,30,22,3,2,1,3,2,1,1,1,0
Alice Lloyd College,657,292,365,2,0,2,0,0,0,4,4,0,2,1,1,3,0,3,637,280,357,1,1,0,7,5,2,1,1,0,2,1,1,2,2,36,32,39,460,510,17,23,10980,10980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,84,101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,183,84,99,0,0,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allegheny College,2023,917,1106,2,1,1,45,21,24,93,33,60,127,66,61,0,0,0,1564,714,850,87,40,47,28,9,19,77,33,44,2,1,1,2,2,72,67,76,520,630,23,28,40660,40660,8,6,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,213,82,131,1,1,0,6,3,3,2,0,2,9,6,3,0,0,0,185,70,115,9,2,7,0,0,0,1,0,1,29,15,14,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,27,13,14,0,0,0,0,0,0,0,0,0,77,47,30,0,0,0,3,2,1,0,0,0,2,2,0,0,0,0,69,41,28,2,2,0,0,0,0,1,0,1
